emlak_tipi,m2_brut,m2_net,oda_sayisi,bina_yaşi,bulundugu_kat,isitma,banyo_sayisi,balkon,esyali,site_icerisi,krediye_uygun,kimden,konum,fiyat
0,140.0,130.0,7,5,15,0,0,0,2,1,1,1,0,180000.0
0,180.0,155.0,7,7,14,0,1,0,2,2,1,1,0,675000.0
0,130.0,130.0,7,0,13,0,0,0,2,2,1,1,0,405000.0
0,240.0,200.0,16,0,16,0,2,0,2,2,1,1,0,560000.0
0,160.0,145.0,7,3,16,0,1,0,2,1,1,1,0,425000.0
0,75.0,70.0,4,6,29,10,0,0,2,1,1,1,0,210000.0
0,165.0,140.0,7,0,28,0,1,0,2,1,2,3,0,720000.0
0,156.0,131.0,7,0,13,0,1,0,2,1,1,1,0,800000.0
0,110.0,100.0,4,5,14,0,0,0,2,2,1,2,0,200000.0
0,135.0,100.0,7,3,0,0,0,0,2,1,1,1,0,350000.0
0,100.0,90.0,4,1,13,0,0,0,0,2,1,1,0,350000.0
0,140.0,125.0,7,3,0,0,0,0,2,2,1,1,0,225000.0
0,100.0,90.0,4,6,15,0,0,0,2,2,1,1,0,150000.0
0,140.0,130.0,7,6,13,0,0,0,2,1,2,2,0,400000.0
0,200.0,180.0,10,7,10,0,1,0,2,2,1,1,0,450000.0
0,202.0,160.0,7,2,14,0,1,0,2,2,1,1,0,650000.0
0,95.0,86.0,4,0,10,0,0,0,1,2,1,2,0,465000.0
2,110.0,100.0,10,5,27,8,2,0,1,2,1,2,0,775000.0
0,140.0,130.0,7,6,0,1,0,0,2,2,2,1,0,130000.0
0,140.0,130.0,4,5,14,0,0,0,2,2,1,1,0,200000.0
0,110.0,90.0,7,5,31,0,0,0,2,2,1,1,0,208500.0
0,90.0,85.0,7,8,26,0,0,0,2,2,2,2,0,150000.0
0,159.0,150.0,4,6,15,0,0,0,2,2,2,1,0,170000.0
0,145.0,130.0,7,0,13,0,1,0,2,2,1,1,0,420000.0
0,80.0,70.0,4,5,10,8,0,0,2,2,1,1,0,250000.0
0,110.0,90.0,4,2,10,0,0,0,2,2,1,1,0,275000.0
2,100.0,85.0,4,8,15,0,0,0,2,2,1,1,0,330000.0
0,125.0,115.0,7,8,14,0,0,0,2,2,1,1,0,415000.0
0,103.0,100.0,4,3,15,0,0,0,2,2,1,1,0,185000.0
0,135.0,128.0,7,0,13,0,0,0,2,2,1,1,0,370000.0
0,105.0,95.0,4,6,15,0,0,0,2,2,1,1,0,160000.0
0,115.0,110.0,7,8,13,8,0,0,2,2,1,1,0,145000.0
0,112.0,90.0,6,5,23,8,0,0,0,2,1,2,0,135000.0
0,145.0,135.0,7,5,17,0,1,0,2,2,1,1,0,420000.0
0,51.0,50.0,0,8,14,10,0,0,2,1,1,2,0,290000.0
0,155.0,140.0,7,0,10,0,1,0,2,2,2,3,0,420000.0
0,150.0,120.0,10,5,27,8,1,0,2,2,2,1,0,699000.0
2,328.0,326.0,14,2,27,10,1,0,2,2,2,1,0,589000.0
0,135.0,130.0,7,5,1,0,0,0,2,2,1,1,0,325000.0
0,80.0,75.0,4,5,14,8,0,0,2,2,1,1,0,265000.0
0,78.0,70.0,4,3,26,0,0,1,1,2,2,1,0,250000.0
0,140.0,120.0,7,0,10,0,1,0,2,2,1,1,0,650000.0
0,80.0,75.0,4,6,14,8,0,0,1,1,1,1,0,250000.0
0,130.0,125.0,7,0,0,0,0,0,2,2,1,1,0,410000.0
0,139.0,138.0,10,10,10,0,0,1,2,2,1,0,0,360000.0
0,165.0,155.0,7,9,10,0,1,0,0,1,1,2,0,875000.0
0,100.0,90.0,4,8,13,5,0,0,2,2,1,1,0,165000.0
0,125.0,99.0,4,0,20,0,1,0,2,1,1,1,0,590000.0
0,130.0,120.0,7,3,10,0,1,0,0,2,0,1,0,260000.0
0,130.0,120.0,7,5,15,0,0,0,2,2,1,1,0,275000.0
0,100.0,95.0,7,0,26,0,0,1,2,2,1,2,0,250000.0
0,145.0,140.0,7,10,10,0,0,0,2,2,1,1,0,675000.0
0,140.0,130.0,7,5,28,8,0,0,2,2,1,1,0,850000.0
0,160.0,155.0,7,10,0,0,1,0,2,2,1,1,0,450000.0
0,120.0,115.0,7,0,10,0,0,0,2,2,1,1,0,465000.0
0,100.0,90.0,4,5,29,10,0,0,2,2,1,1,0,155000.0
0,110.0,100.0,4,8,10,0,0,0,2,2,1,1,0,190000.0
0,155.0,140.0,7,8,0,0,0,0,2,2,1,1,0,460000.0
0,140.0,130.0,7,4,10,0,0,0,2,2,1,1,0,355000.0
0,150.0,130.0,7,6,13,0,0,0,2,2,1,1,0,260000.0
0,125.0,110.0,7,0,13,0,0,0,2,2,1,2,0,460000.0
0,110.0,100.0,7,7,10,0,0,0,2,2,1,2,0,370000.0
0,100.0,90.0,4,5,10,0,1,0,2,2,1,1,0,765000.0
