0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
910858040,  02 Eylül 2021,  Satılık Müstakil Ev ,228.0,100.0,  2+1,  0,  1,  Soba,  1,  Var,  Hayır,  Boş,  Hayır,  Belirtilmemiş,  Belirtilmemiş,  Hayır,  Bilinmiyor,  Emlak Ofisinden,  Hayır,  Evet ,Mustafakemalpaşa,340.000,
918402550,  02 Eylül 2021,  Satılık Müstakil Ev ,372.0,180.0,  3+1,  3,  3,  Soba,  2,  Var,  Hayır,  Boş,  Hayır,  Belirtilmemiş,  Belirtilmemiş,  Evet,  Kat Mülkiyetli,  Emlak Ofisinden,  Hayır,  Hayır ,Mustafakemalpaşa,465.000,
918402550,  02 Eylül 2021,  Satılık Müstakil Ev ,372.0,180.0,  3+1,  3,  3,  Soba,  2,  Var,  Hayır,  Boş,  Hayır,  Belirtilmemiş,  Belirtilmemiş,  Evet,  Kat Mülkiyetli,  Emlak Ofisinden,  Hayır,  Hayır ,Mustafakemalpaşa,465.000,
928789794,  01 Eylül 2021,  Satılık Müstakil Ev ,120.0,46.0,  3+1,  21-25 arası,  2,  Doğalgaz (Kombi),  2,  Var,  Hayır,  Kiracılı,  Hayır,  Belirtilmemiş,  0,  Evet,  Kat Mülkiyetli,  Emlak Ofisinden,  Hayır,  Evet ,Mustafakemalpaşa,200.000,
951630411,  01 Eylül 2021,  Satılık Prefabrik Ev ,10.0,8.0,  2,  3,  2,  Yok,  Ahşap,  Ahşap,  Üreticiden,  Evet ,  Sıfır ,Mustafakemalpaşa,37.000,,,,,,,,
951630411,  01 Eylül 2021,  Satılık Prefabrik Ev ,10.0,8.0,  2,  3,  2,  Yok,  Ahşap,  Ahşap,  Üreticiden,  Evet ,  Sıfır ,Mustafakemalpaşa,37.000,,,,,,,,
951585427,  01 Eylül 2021,  Satılık Daire ,150.0,135.0,  3+1,  4,  3,  3,  Doğalgaz (Kombi),  2,  Var,  Hayır,  Boş,  Hayır,  Belirtilmemiş,  Belirtilmemiş,  Evet,  Kat İrtifaklı,  Emlak Ofisinden,  Evet,  Hayır ,Mustafakemalpaşa,365.000
951890904,  02 Eylül 2021,  Satılık Daire ,145.0,127.0,  3+1,  0,  4,  4,  Doğalgaz (Kombi),  2,  Var,  Hayır,  Boş,  Hayır,  Belirtilmemiş,  Belirtilmemiş,  Evet,  Kat İrtifaklı,  Emlak Ofisinden,  Hayır,  Evet ,Mustafakemalpaşa,565.000
951554990,  01 Eylül 2021,  Satılık Daire ,158.0,145.0,  3+1,  21-25 arası,  3,  3,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Boş,  Hayır,  Belirtilmemiş,  Belirtilmemiş,  Evet,  Kat İrtifaklı,  Emlak Ofisinden,  Hayır,  Hayır ,Mustafakemalpaşa,260.000
951554990,  01 Eylül 2021,  Satılık Daire ,158.0,145.0,  3+1,  21-25 arası,  3,  3,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Boş,  Hayır,  Belirtilmemiş,  Belirtilmemiş,  Evet,  Kat İrtifaklı,  Emlak Ofisinden,  Hayır,  Hayır ,Mustafakemalpaşa,260.000
