0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
891108119,  01 Eylül 2021,  Satılık Daire ,100.0,90.0,  2+1,  31 ve üzeri,  2,  3,  Soba,  1,  Var,  Belirtilmemiş,  Mülk Sahibi,  Hayır,  Belirtilmemiş,  Belirtilmemiş,  Evet,  Belirtilmemiş,  Sahibinden,  Hayır,  Evet ,Orhaneli,175.000
860746237,  25 Ağustos 2021,  Satılık Müstakil Ev ,1.0,1.0,  2+1,  4,  1,  Soba,  1,  Var,  Evet,  Mülk Sahibi,  Hayır,  Belirtilmemiş,  Belirtilmemiş,  Belirtilmemiş,  Bilinmiyor,  Sahibinden,  Hayır,  Evet ,Orhaneli,399.000,
937823788,  14 Ağustos 2021,  Satılık Daire ,137.0,110.0,  3+1,  0,  Giriş Katı,  4,  Doğalgaz (Kombi),  2,  Var,  Hayır,  Boş,  Evet,  Belirtilmemiş,  100,  Hayır,  Kat Mülkiyetli,  Emlak Ofisinden,  Hayır,  Hayır ,Orhaneli,355.000
945201853,  12 Ağustos 2021,  Satılık Prefabrik Ev ,21.0,21.0,  2,  1,  1,  Yok,  Söve,  Çelik,  Sahibinden,  Hayır ,  İkinci El ,Orhaneli,17.500,,,,,,,,
924825888,  10 Ağustos 2021,  Satılık Çiftlik Evi ,450.0,350.0,  14.000,  2,  2,  6,  1,  Şömine,  Betonarme,  1,  Yok,  İkinci El,  Boş,  Kat İrtifaklı,  Var,  Evet,  Emlak Ofisinden,  Hayır,  Hayır ,Orhaneli,4.600.000
940101662,  25 Temmuz 2021,  Satılık Daire ,141.0,141.0,  3+1,  26-30 arası,  2,  4,  Soba,  1,  Var,  Hayır,  Kiracılı,  Hayır,  Belirtilmemiş,  Belirtilmemiş,  Evet,  Belirtilmemiş,  Sahibinden,  Hayır,  Evet ,Orhaneli,230.000
902560853,  08 Şubat 2021,  Satılık Yazlık ,1.4,100.0,  2+1,  1,  Giriş Altı Kot 1,  1,  Soba,  1,  Var,  Evet,  Boş,  Hayır,  Belirtilmemiş,  Belirtilmemiş,  Hayır,  Bilinmiyor,  Sahibinden,  Hayır,  Evet ,Orhaneli,1.250.000
