0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
943444560,  04 Eylül 2021,  Satılık Daire ,130.0,115.0,  3+1,  5-10 arası,  Bahçe Katı,  6,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Mülk Sahibi,  Hayır,  Belirtilmemiş,  100,  Evet,  Kat Mülkiyetli,  Emlak Ofisinden,  Evet,  Hayır ,Yıldırım,469.000
952397746,  04 Eylül 2021,  Satılık Müstakil Ev ,130.0,110.0,  2+1,  16-20 arası,  3,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Mülk Sahibi,  Hayır,  Belirtilmemiş,  Belirtilmemiş,  Hayır,  Hisseli,  Emlak Ofisinden,  Hayır,  Evet ,Yıldırım,525.000,
952399499,  04 Eylül 2021,  Satılık Daire ,125.0,95.0,  2+1,  5-10 arası,  4,  6,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Boş,  Evet,  Belirtilmemiş,  Belirtilmemiş,  Evet,  Kat Mülkiyetli,  Emlak Ofisinden,  Evet,  Hayır ,Yıldırım,515.000
934924019,  04 Eylül 2021,  Satılık Müstakil Ev ,79.0,79.0,  2+1,  26-30 arası,  5,  Doğalgaz Sobası,  1,  Var,  Belirtilmemiş,  Kiracılı,  Hayır,  Belirtilmemiş,  Belirtilmemiş,  Hayır,  Kat İrtifaklı,  Sahibinden,  Hayır,  Hayır ,Yıldırım,960.000,
927196159,  04 Eylül 2021,  Satılık Daire ,125.0,115.0,  3+1,  26-30 arası,  1,  4,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Mülk Sahibi,  Evet,  Belirtilmemiş,  30,  Evet,  Kat İrtifaklı,  Emlak Ofisinden,  Hayır,  Hayır ,Yıldırım,250.000
850346342,  04 Eylül 2021,  Satılık Daire ,300.0,250.0,  7+1,  5-10 arası,  6,  6,  Merkezi (Pay Ölçer),  3,  Var,  Hayır,  Mülk Sahibi,  Evet,  Yüksekoba Cadde Sitesi,  Belirtilmemiş,  Evet,  Kat Mülkiyetli,  Emlak Ofisinden,  Hayır,  Hayır ,Yıldırım,940.000
883324500,  03 Eylül 2021,  Satılık Daire ,110.0,95.0,  2+1,  26-30 arası,  3,  5,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Kiracılı,  Hayır,  Belirtilmemiş,  20,  Evet,  Kat İrtifaklı,  Emlak Ofisinden,  Evet,  Hayır ,Yıldırım,210.000
927749297,  03 Eylül 2021,  Satılık Daire ,105.0,90.0,  2+1,  26-30 arası,  1,  5,  Doğalgaz Sobası,  1,  Var,  Hayır,  Boş,  Hayır,  Belirtilmemiş,  Belirtilmemiş,  Evet,  Kat İrtifaklı,  Emlak Ofisinden,  Hayır,  Hayır ,Yıldırım,209.000
936324459,  03 Eylül 2021,  Satılık Daire ,165.0,150.0,  4+2,  21-25 arası,  5,  5,  Merkezi (Pay Ölçer),  2,  Var,  Hayır,  Mülk Sahibi,  Hayır,  Belirtilmemiş,  0,  Evet,  Kat Mülkiyetli,  Emlak Ofisinden,  Evet,  Hayır ,Yıldırım,565.000
942811314,  03 Eylül 2021,  Satılık Daire ,120.0,110.0,  3+1,  16-20 arası,  6,  7,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Mülk Sahibi,  Hayır,  Belirtilmemiş,  25,  Evet,  Kat Mülkiyetli,  Sahibinden,  Evet,  Hayır ,Yıldırım,375.000
933345025,  03 Eylül 2021,  Satılık Daire ,157.0,135.0,  4+1,  16-20 arası,  5,  5,  Doğalgaz (Kombi),  2,  Var,  Hayır,  Mülk Sahibi,  Hayır,  Belirtilmemiş,  40,  Evet,  Kat İrtifaklı,  Emlak Ofisinden,  Hayır,  Evet ,Yıldırım,370.000
943160988,  03 Eylül 2021,  Satılık Daire ,275.0,240.0,  4+2,  5-10 arası,  5,  5,  Doğalgaz (Kombi),  3,  Var,  Hayır,  Mülk Sahibi,  Evet,  Belirtilmemiş,  Belirtilmemiş,  Evet,  Kat Mülkiyetli,  Emlak Ofisinden,  Hayır,  Hayır ,Yıldırım,850.000
934662981,  03 Eylül 2021,  Satılık Daire ,117.0,105.0,  3+1,  11-15 arası,  1,  4,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Mülk Sahibi,  Hayır,  Belirtilmemiş,  Belirtilmemiş,  Evet,  Kat Mülkiyetli,  Emlak Ofisinden,  Hayır,  Hayır ,Yıldırım,320.000
952244152,  03 Eylül 2021,  Satılık Daire ,135.0,125.0,  3+1,  11-15 arası,  5,  9,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Boş,  Evet,  TOKİ Yiğitler Konutları,  100,  Evet,  Kat Mülkiyetli,  Emlak Ofisinden,  Evet,  Hayır ,Yıldırım,511.000
952228857,  03 Eylül 2021,  Satılık Daire ,165.0,150.0,  3+1,  5-10 arası,  1,  6,  Merkezi (Pay Ölçer),  2,  Var,  Hayır,  Boş,  Evet,  Belirtilmemiş,  150,  Evet,  Kat Mülkiyetli,  Emlak Ofisinden,  Evet,  Evet ,Yıldırım,735.000
943231733,  03 Eylül 2021,  Satılık Daire ,215.0,147.0,  3+1,  1,  2,  9,  Yerden Isıtma,  3,  Var,  Hayır,  Boş,  Evet,  Belirtilmemiş,  Belirtilmemiş,  Evet,  Kat İrtifaklı,  Emlak Ofisinden,  Hayır,  Evet ,Yıldırım,880.000
952178994,  03 Eylül 2021,  Satılık Daire ,125.0,115.0,  3+1,  26-30 arası,  4,  4,  Merkezi,  1,  Var,  Hayır,  Boş,  Evet,  Belirtilmemiş,  75,  Evet,  Kat Mülkiyetli,  Emlak Ofisinden,  Evet,  Hayır ,Yıldırım,495.000
952186826,  03 Eylül 2021,  Satılık Müstakil Ev ,110.0,100.0,  3+1,  21-25 arası,  3,  Doğalgaz (Kombi),  1,  Var,  Belirtilmemiş,  Mülk Sahibi,  Hayır,  Belirtilmemiş,  Belirtilmemiş,  Belirtilmemiş,  Kat İrtifaklı,  Sahibinden,  Evet,  Hayır ,Yıldırım,500.000,
952190199,  03 Eylül 2021,  Satılık Daire ,35.0,25.0,  Stüdyo (1+0),  31 ve üzeri,  Müstakil,  5,  Yok,  1,  Var,  Hayır,  Kiracılı,  Hayır,  Belirtilmemiş,  0,  Hayır,  Kat İrtifaklı,  Emlak Ofisinden,  Hayır,  Evet ,Yıldırım,80.000
952179635,  03 Eylül 2021,  Satılık Daire ,148.0,138.0,  3+1,  16-20 arası,  1,  5,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Boş,  Hayır,  Belirtilmemiş,  15,  Evet,  Kat İrtifaklı,  Emlak Ofisinden,  Hayır,  Hayır ,Yıldırım,372.000
943114499,  03 Eylül 2021,  Satılık Daire ,110.0,90.0,  2+1,  31 ve üzeri,  5,  5,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Mülk Sahibi,  Hayır,  Belirtilmemiş,  25,  Evet,  Kat Mülkiyetli,  Emlak Ofisinden,  Hayır,  Hayır ,Yıldırım,239.000
952166616,  03 Eylül 2021,  Satılık Daire ,120.0,100.0,  3+1,  5-10 arası,  6,  6,  Doğalgaz (Kombi),  2,  Var,  Hayır,  Boş,  Evet,  Derya Sitesi,  120,  Evet,  Kat Mülkiyetli,  Sahibinden,  Evet,  Hayır ,Yıldırım,605.000
952164337,  03 Eylül 2021,  Satılık Müstakil Ev ,127.0,119.0,  3+1,  21-25 arası,  6,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Kiracılı,  Hayır,  Belirtilmemiş,  Belirtilmemiş,  Evet,  Kat İrtifaklı,  Emlak Ofisinden,  Hayır,  Hayır ,Yıldırım,1.090.000,
952172036,  03 Eylül 2021,  Satılık Daire ,133.0,105.0,  3+1,  0,  1,  8,  Yerden Isıtma,  2,  Var,  Evet,  Boş,  Evet,  Belirtilmemiş,  Belirtilmemiş,  Evet,  Kat İrtifaklı,  İnşaat Firmasından,  Evet,  Hayır ,Yıldırım,905.000
952163698,  03 Eylül 2021,  Satılık Daire ,115.0,103.0,  3+1,  21-25 arası,  1,  7,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Boş,  Evet,  Erkent Sitesi,  100,  Evet,  Kat Mülkiyetli,  Sahibinden,  Hayır,  Hayır ,Yıldırım,430.000
936234533,  03 Eylül 2021,  Satılık Daire ,230.0,206.0,  5+1,  3,  7,  7,  Doğalgaz (Kombi),  2,  Var,  Hayır,  Mülk Sahibi,  Evet,  Barış Evleri,  70,  Evet,  Kat Mülkiyetli,  Emlak Ofisinden,  Evet,  Evet ,Yıldırım,765.000
952167038,  03 Eylül 2021,  Satılık Daire ,140.0,120.0,  3+1,  21-25 arası,  Yüksek Giriş,  5,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Mülk Sahibi,  Hayır,  Belirtilmemiş,  Belirtilmemiş,  Evet,  Bilinmiyor,  Emlak Ofisinden,  Hayır,  Hayır ,Yıldırım,275.000
873746899,  03 Eylül 2021,  Satılık Daire ,150.0,120.0,  3+1,  21-25 arası,  9,  9,  Merkezi,  2,  Var,  Hayır,  Boş,  Evet,  Yolkent Sitesi,  Belirtilmemiş,  Evet,  Kat Mülkiyetli,  Emlak Ofisinden,  Evet,  Hayır ,Yıldırım,435.000
936241383,  03 Eylül 2021,  Satılık Daire ,110.0,100.0,  2+1,  5-10 arası,  2,  3,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Mülk Sahibi,  Evet,  TOKİ Akçağlayan Konutları,  120,  Evet,  Kat Mülkiyetli,  Emlak Ofisinden,  Hayır,  Hayır ,Yıldırım,700.000
936241383,  03 Eylül 2021,  Satılık Daire ,110.0,100.0,  2+1,  5-10 arası,  2,  3,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Mülk Sahibi,  Evet,  TOKİ Akçağlayan Konutları,  120,  Evet,  Kat Mülkiyetli,  Emlak Ofisinden,  Hayır,  Hayır ,Yıldırım,700.000
881105826,  03 Eylül 2021,  Satılık Daire ,120.0,90.0,  2+1,  26-30 arası,  4,  6,  Doğalgaz (Kombi),  1,  Yok,  Hayır,  Boş,  Hayır,  Belirtilmemiş,  Belirtilmemiş,  Hayır,  Hisseli,  İnşaat Firmasından,  Hayır,  Evet ,Yıldırım,265.000
919588154,  03 Eylül 2021,  Satılık Daire ,95.0,90.0,  2+1,  26-30 arası,  5,  6,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Kiracılı,  Hayır,  Belirtilmemiş,  40,  Evet,  Kat İrtifaklı,  Emlak Ofisinden,  Hayır,  Hayır ,Yıldırım,235.000
952158035,  03 Eylül 2021,  Satılık Daire ,65.0,60.0,  2+1,  21-25 arası,  Giriş Katı,  3,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Kiracılı,  Hayır,  Belirtilmemiş,  Belirtilmemiş,  Evet,  Kat İrtifaklı,  Emlak Ofisinden,  Hayır,  Hayır ,Yıldırım,130.000
936237547,  03 Eylül 2021,  Satılık Daire ,120.0,100.0,  2+1,  5-10 arası,  1,  4,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Mülk Sahibi,  Hayır,  Belirtilmemiş,  0,  Evet,  Kat Mülkiyetli,  Emlak Ofisinden,  Hayır,  Hayır ,Yıldırım,350.000
936265700,  04 Eylül 2021,  Satılık Daire ,177.0,153.0,  3+1,  0,  11,  11,  Yerden Isıtma,  2,  Var,  Hayır,  Boş,  Evet,  Flora Vita,  300,  Evet,  Kat Mülkiyetli,  Emlak Ofisinden,  Hayır,  Hayır ,Yıldırım,945.000
869176830,  03 Eylül 2021,  Satılık Müstakil Ev ,80.0,80.0,  2+1,  16-20 arası,  2,  Soba,  1,  Var,  Hayır,  Kiracılı,  Hayır,  Belirtilmemiş,  Belirtilmemiş,  Hayır,  Hisseli,  Emlak Ofisinden,  Hayır,  Hayır ,Yıldırım,270.000,
929382456,  03 Eylül 2021,  Satılık Daire ,180.0,160.0,  3+1,  2,  5,  5,  Doğalgaz (Kombi),  2,  Var,  Hayır,  Kiracılı,  Hayır,  Belirtilmemiş,  50,  Evet,  Kat İrtifaklı,  Emlak Ofisinden,  Hayır,  Hayır ,Yıldırım,650.000
929603032,  03 Eylül 2021,  Satılık Daire ,105.0,100.0,  2+1,  26-30 arası,  1,  3,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Kiracılı,  Hayır,  Belirtilmemiş,  Belirtilmemiş,  Evet,  Kat Mülkiyetli,  Emlak Ofisinden,  Hayır,  Hayır ,Yıldırım,220.000
952142788,  03 Eylül 2021,  Satılık Daire ,90.0,90.0,  2+1,  5-10 arası,  3,  5,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Boş,  Hayır,  Belirtilmemiş,  30,  Belirtilmemiş,  Kat Mülkiyetli,  Sahibinden,  Hayır,  Hayır ,Yıldırım,350.000
918026795,  03 Eylül 2021,  Satılık Daire ,180.0,170.0,  4+1,  0,  Giriş Altı Kot 2,  2,  Doğalgaz (Kombi),  2,  Var,  Hayır,  Boş,  Hayır,  Belirtilmemiş,  0,  Evet,  Belirtilmemiş,  Sahibinden,  Hayır,  Hayır ,Yıldırım,730.000
923484890,  03 Eylül 2021,  Satılık Daire ,92.0,92.0,  2+1,  0,  Giriş Altı Kot 1,  2,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Boş,  Hayır,  Belirtilmemiş,  Belirtilmemiş,  Evet,  Belirtilmemiş,  Sahibinden,  Hayır,  Hayır ,Yıldırım,450.000
856074773,  03 Eylül 2021,  Satılık Daire ,115.0,110.0,  3+1,  26-30 arası,  2,  4,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Boş,  Hayır,  Belirtilmemiş,  0,  Evet,  Belirtilmemiş,  Sahibinden,  Evet,  Hayır ,Yıldırım,315.000
913550811,  03 Eylül 2021,  Satılık Daire ,100.0,97.0,  2+1,  5-10 arası,  4,  5,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Boş,  Hayır,  Belirtilmemiş,  Belirtilmemiş,  Evet,  Kat Mülkiyetli,  Emlak Ofisinden,  Hayır,  Hayır ,Yıldırım,320.000
907825819,  03 Eylül 2021,  Satılık Daire ,135.0,120.0,  3+1,  26-30 arası,  2,  9,  Merkezi,  2,  Var,  Hayır,  Boş,  Evet,  Belirtilmemiş,  150,  Evet,  Kat Mülkiyetli,  Emlak Ofisinden,  Hayır,  Hayır ,Yıldırım,459.000
931425780,  03 Eylül 2021,  Satılık Müstakil Ev ,105.0,95.0,  2+1,  21-25 arası,  4,  Doğalgaz (Kombi),  4,  Var,  Hayır,  Mülk Sahibi,  Hayır,  Belirtilmemiş,  0,  Hayır,  Bilinmiyor,  Sahibinden,  Hayır,  Hayır ,Yıldırım,840.000,
952140440,  03 Eylül 2021,  Satılık Daire ,125.0,95.0,  2+1,  5-10 arası,  4,  7,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Boş,  Evet,  Belirtilmemiş,  Belirtilmemiş,  Evet,  Kat Mülkiyetli,  Emlak Ofisinden,  Hayır,  Hayır ,Yıldırım,515.000
943076679,  03 Eylül 2021,  Satılık Daire ,135.0,120.0,  3+1,  26-30 arası,  5,  5,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Boş,  Hayır,  Belirtilmemiş,  Belirtilmemiş,  Evet,  Kat İrtifaklı,  Emlak Ofisinden,  Evet,  Hayır ,Yıldırım,195.000
851955317,  03 Eylül 2021,  Satılık Daire ,130.0,120.0,  2+1,  26-30 arası,  3,  7,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Boş,  Hayır,  Belirtilmemiş,  20,  Evet,  Kat İrtifaklı,  Emlak Ofisinden,  Evet,  Hayır ,Yıldırım,250.000
952132565,  03 Eylül 2021,  Satılık Daire ,100.0,90.0,  2+1,  21-25 arası,  3,  4,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Boş,  Hayır,  Belirtilmemiş,  10,  Evet,  Kat İrtifaklı,  Emlak Ofisinden,  Evet,  Hayır ,Yıldırım,285.000
872890459,  03 Eylül 2021,  Satılık Daire ,130.0,120.0,  3+1,  26-30 arası,  Giriş Altı Kot 1,  5,  Merkezi (Pay Ölçer),  1,  Var,  Hayır,  Boş,  Hayır,  Belirtilmemiş,  Belirtilmemiş,  Evet,  Kat İrtifaklı,  Emlak Ofisinden,  Hayır,  Hayır ,Yıldırım,149.000
943075155,  03 Eylül 2021,  Satılık Daire ,120.0,110.0,  3+1,  21-25 arası,  8,  8,  Merkezi,  1,  Var,  Hayır,  Boş,  Evet,  Essonka Sitesi,  60,  Evet,  Kat Mülkiyetli,  Emlak Ofisinden,  Hayır,  Hayır ,Yıldırım,422.000
905946229,  03 Eylül 2021,  Satılık Müstakil Ev ,170.0,150.0,  3+1,  5-10 arası,  3,  Soba,  3,  Var,  Hayır,  Mülk Sahibi,  Hayır,  Belirtilmemiş,  Belirtilmemiş,  Hayır,  Hisseli,  Emlak Ofisinden,  Hayır,  Hayır ,Yıldırım,750.000,
952120947,  03 Eylül 2021,  Satılık Daire ,110.0,105.0,  2+1,  26-30 arası,  2,  4,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Mülk Sahibi,  Hayır,  Belirtilmemiş,  20,  Evet,  Kat İrtifaklı,  Emlak Ofisinden,  Hayır,  Hayır ,Yıldırım,255.000
928892427,  03 Eylül 2021,  Satılık Daire ,135.0,128.0,  3+1,  21-25 arası,  1,  4,  Doğalgaz (Kombi),  1,  Var,  Belirtilmemiş,  Mülk Sahibi,  Hayır,  Belirtilmemiş,  Belirtilmemiş,  Belirtilmemiş,  Kat Mülkiyetli,  Emlak Ofisinden,  Hayır,  Hayır ,Yıldırım,260.000
910240128,  03 Eylül 2021,  Satılık Daire ,175.0,145.0,  3.5+1,  3,  5,  6,  Merkezi (Pay Ölçer),  3,  Var,  Hayır,  Kiracılı,  Evet,  Belirtilmemiş,  100,  Evet,  Kat Mülkiyetli,  Emlak Ofisinden,  Hayır,  Hayır ,Yıldırım,555.000
914038306,  03 Eylül 2021,  Satılık Daire ,140.0,135.0,  3+1,  11-15 arası,  1,  5,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Kiracılı,  Hayır,  Belirtilmemiş,  40,  Evet,  Kat Mülkiyetli,  Emlak Ofisinden,  Hayır,  Hayır ,Yıldırım,395.000
926998704,  03 Eylül 2021,  Satılık Daire ,90.0,85.0,  2+1,  26-30 arası,  3,  4,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Mülk Sahibi,  Hayır,  Belirtilmemiş,  20,  Evet,  Kat İrtifaklı,  Emlak Ofisinden,  Hayır,  Hayır ,Yıldırım,188.000
943069007,  03 Eylül 2021,  Satılık Daire ,105.0,90.0,  2+1,  31 ve üzeri,  5,  5,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Boş,  Hayır,  Belirtilmemiş,  40,  Evet,  Kat İrtifaklı,  Emlak Ofisinden,  Hayır,  Hayır ,Yıldırım,220.000
935386906,  04 Eylül 2021,  Satılık Daire ,110.0,100.0,  2+1,  26-30 arası,  4,  4,  Doğalgaz (Kombi),  1,  Yok,  Hayır,  Mülk Sahibi,  Hayır,  Belirtilmemiş,  Belirtilmemiş,  Evet,  Kat İrtifaklı,  Emlak Ofisinden,  Evet,  Evet ,Yıldırım,600.000
911246324,  03 Eylül 2021,  Satılık Daire ,156.0,140.0,  3+1,  5-10 arası,  Bahçe Katı,  3,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Boş,  Evet,  Belirtilmemiş,  106,  Evet,  Kat Mülkiyetli,  Emlak Ofisinden,  Hayır,  Hayır ,Yıldırım,775.000
942943523,  03 Eylül 2021,  Satılık Daire ,145.0,105.0,  2+1,  11-15 arası,  2,  2,  Doğalgaz (Kombi),  1,  Var,  Hayır,  Mülk Sahibi,  Evet,  TOKİ Akçağlayan Konutları,  100,  Evet,  Kat Mülkiyetli,  Emlak Ofisinden,  Evet,  Hayır ,Yıldırım,645.000
